start_frame,end_frame,num_vehicles,scenario
1148,1198,49,Car Following
1149,1199,49,Car Following
1150,1200,48,Car Following
1151,1201,47,Car Following
1152,1202,47,Car Following
1153,1203,47,Car Following
1154,1204,48,Car Following
1155,1205,48,Car Following
1156,1206,48,Car Following
1157,1207,48,Car Following
1158,1208,48,Car Following
1159,1209,49,Car Following
1160,1210,49,Car Following
1161,1211,49,Car Following
1162,1212,49,Car Following
1163,1213,49,Car Following
1164,1214,48,Car Following
1165,1215,48,Car Following
1166,1216,48,Car Following
1167,1217,49,Car Following
1168,1218,49,Car Following
1169,1219,48,Car Following
1170,1220,49,Car Following
1171,1221,49,Car Following
1172,1222,50,Car Following
1173,1223,50,Car Following
1174,1224,50,Car Following
1175,1225,49,Car Following
1176,1226,49,Car Following
1177,1227,49,Car Following
1178,1228,49,Car Following
1179,1229,49,Car Following
1180,1230,50,Car Following
1181,1231,51,Car Following
1182,1232,52,Car Following
1183,1233,51,Car Following
1184,1234,51,Car Following
1185,1235,51,Car Following
1186,1236,50,Car Following
1187,1237,50,Car Following
1188,1238,50,Car Following
1189,1239,51,Car Following
1190,1240,52,Car Following
1191,1241,51,Car Following
1192,1242,51,Car Following
1193,1243,52,Car Following
1194,1244,51,Car Following
1195,1245,51,Car Following
1196,1246,51,Car Following
1197,1247,51,Car Following
1198,1248,51,Car Following
1199,1249,51,Car Following
1200,1250,51,Car Following
1201,1251,51,Car Following
1202,1252,51,Car Following
1203,1253,51,Car Following
1204,1254,51,Car Following
1205,1255,51,Car Following
1206,1256,51,Car Following
1207,1257,51,Car Following
1208,1258,50,Car Following
1209,1259,50,Car Following
1210,1260,50,Car Following
1211,1261,50,Car Following
1212,1262,50,Car Following
1213,1263,51,Car Following
1214,1264,50,Car Following
1215,1265,51,Car Following
1216,1266,51,Car Following
1217,1267,51,Car Following
1218,1268,51,Car Following
1219,1269,51,Car Following
1220,1270,51,Car Following
1221,1271,51,Car Following
1222,1272,51,Car Following
1223,1273,51,Car Following
1224,1274,51,Car Following
1225,1275,51,Car Following
1226,1276,50,Car Following
1227,1277,50,Car Following
1228,1278,50,Car Following
1229,1279,49,Car Following
1230,1280,49,Car Following
1231,1281,51,Car Following
1232,1282,51,Car Following
1233,1283,51,Car Following
1234,1284,51,Car Following
1235,1285,51,Car Following
1236,1286,50,Car Following
1237,1287,50,Car Following
1238,1288,50,Car Following
1239,1289,51,Car Following
1240,1290,51,Car Following
1241,1291,51,Car Following
1242,1292,51,Car Following
1243,1293,49,Car Following
1244,1294,49,Car Following
1245,1295,49,Car Following
1246,1296,49,Car Following
1247,1297,49,Car Following
1248,1298,49,Car Following
1249,1299,49,Car Following
1250,1300,49,Car Following
1251,1301,50,Car Following
1252,1302,50,Car Following
1253,1303,50,Car Following
1254,1304,50,Car Following
1255,1305,51,Car Following
1256,1306,51,Car Following
1257,1307,50,Car Following
1258,1308,51,Car Following
1259,1309,51,Car Following
1260,1310,51,Car Following
1261,1311,52,Car Following
1262,1312,52,Car Following
1263,1313,51,Car Following
1264,1314,51,Car Following
1265,1315,52,Car Following
1266,1316,52,Car Following
1267,1317,52,Car Following
1268,1318,52,Car Following
1269,1319,53,Car Following
1270,1320,52,Car Following
1271,1321,52,Car Following
1272,1322,52,Car Following
1273,1323,52,Car Following
1274,1324,51,Car Following
1275,1325,51,Car Following
1276,1326,50,Car Following
1277,1327,51,Car Following
1278,1328,51,Car Following
1279,1329,51,Car Following
1280,1330,51,Car Following
1281,1331,52,Car Following
1282,1332,52,Car Following
1283,1333,53,Car Following
1284,1334,53,Car Following
1285,1335,55,Car Following
1286,1336,55,Car Following
1287,1337,55,Car Following
1288,1338,55,Car Following
1289,1339,55,Car Following
1290,1340,55,Car Following
1291,1341,54,Car Following
1292,1342,54,Car Following
1293,1343,54,Car Following
1294,1344,52,Car Following
1295,1345,52,Car Following
1296,1346,52,Car Following
1297,1347,52,Car Following
1298,1348,54,Car Following
1299,1349,54,Car Following
1300,1350,54,Car Following
1301,1351,54,Car Following
1302,1352,54,Car Following
1303,1353,55,Car Following
1304,1354,55,Car Following
1305,1355,55,Car Following
1306,1356,55,Car Following
1307,1357,55,Car Following
1308,1358,55,Car Following
1309,1359,55,Cut-In
1310,1360,55,Cut-In
1311,1361,55,Cut-In
1312,1362,55,Cut-In
1313,1363,54,Cut-In
1314,1364,54,Cut-In
1315,1365,54,Cut-In
1316,1366,54,Cut-In
1317,1367,54,Cut-In
1318,1368,53,Cut-In
1319,1369,54,Cut-In
1320,1370,55,Cut-In
1321,1371,54,Cut-In
1322,1372,54,Cut-In
1323,1373,54,Cut-In
1324,1374,55,Cut-In
1325,1375,54,Cut-In
1326,1376,54,Cut-In
1327,1377,53,Cut-In
1328,1378,53,Cut-In
1329,1379,53,Cut-In
1330,1380,52,Cut-In
1331,1381,52,Cut-In
1332,1382,52,Cut-In
1333,1383,51,Cut-In
1334,1384,51,Cut-In
1335,1385,51,Cut-In
1336,1386,50,Cut-In
